Word1,word2, pair_count, lift
same, convention,11,1.35566483035703E-05
years, century,24,2.91583443892056E-05
internal, improvement,27,2.29943791517629E-04
total, appropriations,24,9.375E-05
appropriations, made,108,6.82895984824534E-05
American, about,38,1.22968034135926E-05
Said, those,13,9.49813325150326E-06
, occupied,83,1.51604154611397E-05
, privileges,122,1.53430710691052E-05
Congress, people,221,1.09348884295026E-05
Average, American,17,3.17941236978436E-05
Part, result,19,1.55851783313524E-05
,weapons,241,1.53430710691052E-05
Law, constitution,26,1.36498559940193E-05
Treasury, year,202,4.62898671480813E-05
there, coin,13,3.6976357885635E-05
years, parties,18,1.744355073166E-05
constitutional, constitution,17,4.94839119069935E-05
first, government,119,1.1295132120774E-05
executive, under,43,1.7759157736839E-05
